time:2025-05-31 15:57:22, type:DOWN, key:queimando
time:2025-05-31 16:07:28, type:PICK, key:queimando, e:10
time:2025-05-31 16:07:29, type:TEST, key:queimando, c:0, e:10
time:2025-05-31 16:09:03, type:TEST, key:queimando, c:0, e:11
time:2025-05-31 16:09:09, type:TEST, key:queimando, c:0, e:11
time:2025-06-03 10:42:10, type:PICK, key:queimando, e:11
time:2025-06-03 10:42:11, type:BACK, key:queimando, e:11
